CURRENT_ENERGY_RATING,below_c,LODGEMENT_DATE,PROPERTY_TYPE,BUILT_FORM,AGE_BAND_CLEAN,TOTAL_FLOOR_AREA,NUMBER_HABITABLE_ROOMS,MAIN_FUEL_CAT,GLAZED_AREA,WALL_CATEGORY,ROOF_CATEGORY,WINDOW_CATEGORY,HEATING_CATEGORY,LOW_ENERGY_LIGHTING,MECHANICAL_VENTILATION,REPORT_TYPE,PHOTO_SUPPLY,SOLAR_WATER_HEATING_FLAG,FLOOR_HEIGHT
C,0,2022-01-10,Flat,Semi-Detached,1900-1929,21.0,1.0,Mains gas,Normal,No insulation,100-199 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.47
C,0,2022-01-10,Flat,Semi-Detached,1967-1975,58.0,3.0,Mains gas,Normal,Insulated,No exposed roof / premises above,Full double glazing,Gas boiler,44.0,natural,100,0.0,N,2.42
C,0,2022-01-10,Flat,Detached,1967-1975,46.0,2.0,Mains gas,Normal,Insulated,100-199 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.45
C,0,2022-01-10,Flat,Semi-Detached,1900-1929,28.0,2.0,Mains gas,Normal,No insulation,No exposed roof / premises above,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.13
D,1,2022-01-11,Flat,Semi-Detached,1983-1990,24.0,1.0,Electricity,Normal,Insulated,No exposed roof / premises above,Full double glazing,Electric storage heaters,100.0,natural,100,0.0,N,2.23
D,1,2022-01-11,Bungalow,Mid-Terrace,1983-1990,45.0,2.0,Gas - community,Normal,Insulated,200-299 mm,Full double glazing,Community heating,80.0,natural,100,0.0,N,2.3
C,0,2022-01-11,Flat,End-Terrace,1996-2002,43.0,2.0,Mains gas,Normal,Insulated,No exposed roof / premises above,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.33
C,0,2022-01-11,Flat,Mid-Terrace,1976-1982,41.0,2.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,83.0,natural,100,0.0,N,2.2
C,0,2022-01-11,House,Mid-Terrace,1950-1966,97.0,4.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,60.0,natural,100,0.0,N,2.41
C,0,2022-01-11,Flat,Mid-Terrace,1976-1982,41.0,2.0,Mains gas,Normal,Insulated,No exposed roof / premises above,Full double glazing,Gas boiler,83.0,natural,100,0.0,N,2.2
C,0,2022-01-11,House,Mid-Terrace,1900-1929,72.0,5.0,Mains gas,Normal,No insulation,100-199 mm,Full double glazing,Gas boiler,100.0,natural,100,0.0,N,2.45
C,0,2022-01-11,House,Semi-Detached,1930-1949,98.0,5.0,Mains gas,Normal,Insulated,100-199 mm,Full double glazing,Gas boiler,69.0,natural,100,0.0,N,2.48
D,1,2022-01-11,Flat,Mid-Terrace,1950-1966,44.0,2.0,Mains gas,Normal,Insulated,200-299 mm,Full double glazing,Gas boiler,83.0,natural,100,0.0,N,2.4
C,0,2022-01-11,House,Semi-Detached,2003-2006,86.0,4.0,Mains gas,Normal,Insulated,Insulated - unspecified,Full double glazing,Gas boiler,77.0,natural,100,0.0,N,2.31
